State,City,Borough,Zipcode,Latitude,Longitude,Location,num_calls
NY,NEW YORK,MANHATTAN,10016.0,40.74505782,-73.97860649,Club/Bar/Restaurant,13
NY,NEW YORK,MANHATTAN,10013.0,40.71461498,-73.99959599,Club/Bar/Restaurant,74
NY,JAMAICA,QUEENS,11432.0,40.71447021,-73.80246765,Club/Bar/Restaurant,NaN
NY,NEW YORK,MANHATTAN,10034.0,40.86564533,-73.92693205,Club/Bar/Restaurant,26
NY,NEW YORK,MANHATTAN,10002.0,40.71823482,-73.98931116,Club/Bar/Restaurant,40
NY,NEW YORK,MANHATTAN,10012.0,40.72916768,-74.00119065,Club/Bar/Restaurant,15
NY,NY,MANHATTAN,10014.0,40.74011361,-74.00596145,Club/Bar/Restaurant,110
NY,NEW YORK,MANHATTAN,10009.0,40.72488931,-73.97828105,Club/Bar/Restaurant,88
NY,NEW YORK,MANHATTAN,10128.0,40.78131764,-73.94922052,Club/Bar/Restaurant,35
NY,,BROOKLYN,11223.0,40.59655143,-73.97703729,Club/Bar/Restaurant,67
NY,,BROOKLYN,11225.0,40.65778597,-73.95324671,Club/Bar/Restaurant,65
NY,JAMAICA,QUEENS,11435.0,40.70252976,-73.81356446,Club/Bar/Restaurant,15
NY,,BROOKLYN,11216.0,40.68321658,-73.95387066,Club/Bar/Restaurant,106
NY,ELMHURST,QUEENS,11373.0,40.74238268,-73.87090067,Club/Bar/Restaurant,83
NY,NEW YORK,MANHATTAN,10014.0,40.73941098,-74.00539123,Club/Bar/Restaurant,16
NY,NEW YORK,MANHATTAN,10011.0,40.74203508,-73.99834359,Club/Bar/Restaurant,24
NY,,BROOKLYN,11231.0,40.68261354,-73.99323967,Club/Bar/Restaurant,25
NY,NEW YORK,MANHATTAN,10009.0,40.72553423,-73.97780461,Club/Bar/Restaurant,54
NY,,BROOKLYN,11231.0,40.68138125,-74.00444551,Club/Bar/Restaurant,34
NY,NEW YORK,MANHATTAN,10031.0,40.82925663,-73.94837452,Club/Bar/Restaurant,20
NY,,BROOKLYN,11231.0,40.67786527,-73.99806758,Club/Bar/Restaurant,23
NY,NEW YORK,MANHATTAN,10002.0,40.71884964,-73.98921727,Club/Bar/Restaurant,38
NY,,BROOKLYN,11225.0,40.66217506,-73.95370139,Club/Bar/Restaurant,18
NY,NEW YORK,MANHATTAN,10028.0,40.77850171,-73.95632493,Club/Bar/Restaurant,151
NY,BRONX,BRONX,10465.0,40.82837372,-73.8240774,Club/Bar/Restaurant,13
NY,NEW YORK,MANHATTAN,10034.0,40.86797939,-73.92024792,Club/Bar/Restaurant,42
NY,,BROOKLYN,11249.0,40.72104319,-73.95643113,Club/Bar/Restaurant,NaN
NY,NEW YORK,MANHATTAN,10031.0,40.82283051,-73.95306933,Club/Bar/Restaurant,60
NY,,BROOKLYN,11205.0,40.68947714,-73.96958077,Club/Bar/Restaurant,32
NY,NEW YORK,MANHATTAN,10014.0,40.73945487,-74.00597582,Club/Bar/Restaurant,12
NY,NEW YORK,MANHATTAN,10019.0,40.76516441,-73.9877369,Club/Bar/Restaurant,17
NY,WOODSIDE,QUEENS,11377.0,40.75739823,-73.90354533,Club/Bar/Restaurant,32
NY,BRONX,BRONX,10462.0,40.83131818,-73.85090765,Club/Bar/Restaurant,16
NY,,BROOKLYN,11211.0,40.71153872,-73.94507144,Club/Bar/Restaurant,74
NY,NEW YORK,MANHATTAN,10019.0,40.76568038,-73.98736136,Club/Bar/Restaurant,55
NY,,BROOKLYN,11217.0,40.68026692,-73.9746902,Club/Bar/Restaurant,43
NY,ELMHURST,QUEENS,11373.0,40.7463425,-73.89134499,Club/Bar/Restaurant,65
NY,BRONX,BRONX,10471.0,40.88945854,-73.8982722,Club/Bar/Restaurant,14
NY,,BROOKLYN,11215.0,40.67141401,-73.9844268,Club/Bar/Restaurant,21
NY,JACKSON HEIGHTS,QUEENS,11372.0,40.75006808,-73.88119355,Club/Bar/Restaurant,65
NY,NEW YORK,MANHATTAN,10016.0,40.74258786,-73.98041167,Club/Bar/Restaurant,98
NY,NEW YORK,MANHATTAN,10032.0,40.84145055,-73.93577346,Club/Bar/Restaurant,21
NY,,BROOKLYN,11234.0,40.62526616,-73.92756266,Club/Bar/Restaurant,20
NY,ASTORIA,QUEENS,11103.0,40.76045412,-73.91527612,Club/Bar/Restaurant,177
NY,STATEN ISLAND,STATEN ISLAND,10312.0,40.54195147,-74.17742807,Club/Bar/Restaurant,51
NY,,BROOKLYN,11222.0,40.73349828,-73.95481369,Club/Bar/Restaurant,12
NY,,BROOKLYN,11211.0,40.71495071,-73.95175288,Club/Bar/Restaurant,NaN
NY,NEW YORK,MANHATTAN,10031.0,40.82415421,-73.9483821,Club/Bar/Restaurant,24
NY,HOLLIS,QUEENS,11423.0,40.70872939,-73.77898909,Club/Bar/Restaurant,161
NY,NEW YORK,MANHATTAN,10002.0,40.71817453,-73.99037175,Club/Bar/Restaurant,12
NY,ASTORIA,QUEENS,11105.0,40.77480809,-73.91028259,Club/Bar/Restaurant,10
NY,LONG ISLAND CITY,QUEENS,11101.0,40.75413091,-73.949068,Club/Bar/Restaurant,12
NY,ASTORIA,QUEENS,11103.0,40.76494318,-73.91720536,Club/Bar/Restaurant,244
NY,NEW YORK,MANHATTAN,10001.0,40.74586649,-73.99204952,Club/Bar/Restaurant,10
NY,,BROOKLYN,11211.0,40.71395678,-73.95793275,Club/Bar/Restaurant,15
NY,ROCKAWAY PARK,QUEENS,11694.0,40.58073897,-73.83395295,Club/Bar/Restaurant,44
NY,,BROOKLYN,11211.0,40.71144313,-73.94609232,Club/Bar/Restaurant,83
NY,STATEN ISLAND,STATEN ISLAND,10304.0,40.62637037,-74.07545381,Club/Bar/Restaurant,14
NY,,BROOKLYN,11201.0,40.70251036,-73.99306814,Club/Bar/Restaurant,12
NY,NEW YORK,MANHATTAN,10021.0,40.77116239,-73.9566294,Club/Bar/Restaurant,35
NY,,BROOKLYN,11249.0,40.7147337,-73.96677363,Club/Bar/Restaurant,12
NY,LONG ISLAND CITY,QUEENS,11101.0,40.75444761,-73.93013645,Club/Bar/Restaurant,121
NY,NEW YORK,MANHATTAN,10016.0,40.74135013,-73.98131059,Club/Bar/Restaurant,18
NY,NEW YORK,MANHATTAN,10025.0,40.79513631,-73.96959389,Club/Bar/Restaurant,41
NY,NEW YORK,MANHATTAN,10026.0,40.80275151,-73.95659798,Club/Bar/Restaurant,22
